sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;1827;68;35;0,964116094986807;0,981203007518797;0,972584508916689;
5005_udp;38;2;2;0,95;0,95;0,95;
12350_tcp;33;3;6;0,916666666666667;0,846153846153846;0,88;
3128_tcp;1958;116;477;0,944069431051109;0,804106776180698;0,868485251718785;
6882_udp;3;71;11;0,0405405405405405;0,214285714285714;0,0681818181818182;
80_tcp_http;24656;561;212;0,977753103065392;0,991474987936304;0,984566237396426;
40036_udp;1;10;4;0,0909090909090909;0,2;0,125;
11888_udp;2;76;6;0,0256410256410256;0,25;0,0465116279069767;
50321_udp;22;122;92;0,152777777777778;0,192982456140351;0,170542635658915;
5004_udp;41;4;0;0,911111111111111;1;0,953488372093023;
465_tcp;53;19;11;0,736111111111111;0,828125;0,779411764705882;
443_tcp_https;106825;67;146;0,999373199116866;0,998635144104477;0,999004035293623;
27017_udp;162;513;333;0,24;0,327272727272727;0,276923076923077;
27020_udp;70;240;322;0,225806451612903;0,178571428571429;0,199430199430199;
547_udp_dhcpv6c;17;4;0;0,80952380952381;1;0,894736842105263;
27018_udp;119;313;387;0,275462962962963;0,235177865612648;0,253731343283582;
57621_udp;170;1;0;0,994152046783626;1;0,997067448680352;
22_tcp_ssh;58;13;10;0,816901408450704;0,852941176470588;0,834532374100719;
45776_tcp;12;13;1;0,48;0,923076923076923;0,631578947368421;
8999_udp;6;52;52;0,103448275862069;0,103448275862069;0,103448275862069;
40005_udp;0;15;1;0;0;0;
53_tcp_dns;17;0;0;1;1;1;
5351_udp;172;4;0;0,977272727272727;1;0,988505747126437;
6892_udp;2;42;2;0,0454545454545455;0,5;0,0833333333333333;
9875_udp;3;18;2;0,142857142857143;0,6;0,230769230769231;
67_udp_dhcps;427;1;5;0,997663551401869;0,988425925925926;0,993023255813954;
11000_udp;27;8;1;0,771428571428571;0,964285714285714;0,857142857142857;
138_udp;472;0;0;1;1;1;
6969_tcp;200;5;20;0,975609756097561;0,909090909090909;0,941176470588235;
40028_udp;2;15;4;0,117647058823529;0,333333333333333;0,173913043478261;
995_tcp;188;7;5;0,964102564102564;0,974093264248705;0,969072164948454;
67_udp_dhcpc;43;5;1;0,895833333333333;0,977272727272727;0,934782608695652;
8621_udp;9;69;33;0,115384615384615;0,214285714285714;0,15;
5223_tcp_jabberssl;138;59;19;0,700507614213198;0,878980891719745;0,779661016949153;
6992_udp;0;82;2;0;0;0;
40027_udp;9;84;4;0,0967741935483871;0,692307692307692;0,169811320754717;
40029_udp;6;1;20;0,857142857142857;0,230769230769231;0,363636363636364;
5355_udp;40089;12;27;0,99970075559213;0,999326951839665;0,999513818766596;
6889_udp;138;40;191;0,775280898876405;0,419452887537994;0,544378698224852;
40024_udp;5;5;5;0,5;0,5;0,5;
5938_tcp;255;38;37;0,870307167235495;0,873287671232877;0,871794871794872;
3702_udp;227;22;17;0,911646586345382;0,930327868852459;0,920892494929006;
40003_udp;6;12;17;0,333333333333333;0,260869565217391;0,292682926829268;
27036_udp;17;2;0;0,894736842105263;1;0,944444444444444;
1900_udp;10956;1;3;0,999908734142557;0,999726252395292;0,999817484942508;
5353_udp;231;23;1;0,909448818897638;0,995689655172414;0,950617283950617;
27021_udp;34;221;140;0,133333333333333;0,195402298850575;0,158508158508159;
40025_udp;1;9;0;0,1;1;0,181818181818182;
40023_udp;1;1;0;0,5;1;0,666666666666667;
5222_tcp_jabber;29;3;2;0,90625;0,935483870967742;0,920634920634921;
40020_udp;9;5;23;0,642857142857143;0,28125;0,391304347826087;
5938_udp;82;3;0;0,964705882352941;1;0,982035928143713;
51413_udp;495;53;154;0,903284671532847;0,76271186440678;0,827067669172932;
51654_udp;1370;7;51;0,994916485112564;0,964109781843772;0,97927090779128;
40029_tcp;4;11;1;0,266666666666667;0,8;0,4;
47993_udp;29;38;39;0,432835820895522;0,426470588235294;0,42962962962963;
4070_tcp;164;5;11;0,970414201183432;0,937142857142857;0,953488372093023;
27019_udp;2338;294;398;0,888297872340426;0,85453216374269;0,871087928464978;
3478_udp;249;21;1;0,922222222222222;0,996;0,957692307692308;
137_udp;400;21;28;0,950118764845606;0,934579439252336;0,94228504122497;
6881_udp;440;250;508;0,63768115942029;0,464135021097046;0,537240537240537;
40018_udp;4;12;5;0,25;0,444444444444444;0,32;
53_udp_dns;39903;46;69;0,998848531878145;0,998273791654158;0,998561079065577;
43265_udp;64;45;56;0,587155963302752;0,533333333333333;0,558951965065502;
443_udp_https;1619;10;112;0,993861264579497;0,935297515886771;0,963690476190476;
3800_udp;7;103;29;0,0636363636363636;0,194444444444444;0,0958904109589041;
139_tcp;220;0;0;1;1;1;
49001_udp;22;121;32;0,153846153846154;0,407407407407407;0,223350253807107;
40030_udp;5;7;0;0,416666666666667;1;0,588235294117647;
1024_udp;0;67;8;0;0;0;
