sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
443_tcp_https-steamwebhelperexe;0;0;16;0;0;0;
40029_udp-;8;8;6;0,5;0,571428571428571;0,533333333333333;
5938_udp-;15;0;0;1;1;1;
6969_tcp-utorrentexe;25;1;0;0,961538461538462;1;0,980392156862745;
5351_udp-;12;0;0;1;1;1;
5938_tcp-;16;1;0;0,941176470588235;1;0,96969696969697;
80_tcp_http-teamviewer_serviceexe;35;1;3;0,972222222222222;0,921052631578947;0,945945945945946;
40030_udp-;7;12;7;0,368421052631579;0,5;0,424242424242424;
2869_tcp-;144;6;3;0,96;0,979591836734694;0,96969696969697;
27021_udp-;0;4;22;0;0;0;
5938_tcp-system;9;7;8;0,5625;0,529411764705882;0,545454545454546;
5353_udp-;28;0;0;1;1;1;
138_udp-;60;0;0;1;1;1;
443_tcp_https-chromeexe;802;334;454;0,705985915492958;0,638535031847134;0,67056856187291;
12350_tcp-skypeexe;10;2;2;0,833333333333333;0,833333333333333;0,833333333333333;
67_udp_dhcpc-;14;1;0;0,933333333333333;1;0,96551724137931;
80_tcp_http-iexploreexe;95;89;132;0,516304347826087;0,418502202643172;0,462287104622871;
53_udp_dns-;4430;1;4;0,999774317309862;0,999097880018042;0,999435984207558;
5005_udp-;10;0;0;1;1;1;
51413_udp-;65;20;5;0,764705882352941;0,928571428571429;0,838709677419355;
53_tcp_dns-system;12;0;0;1;1;1;
50321_udp-;1;12;11;0,0769230769230769;0,0833333333333333;0,08;
27020_udp-;7;13;47;0,35;0,12962962962963;0,189189189189189;
67_udp_dhcps-;44;0;1;1;0,977777777777778;0,98876404494382;
3128_tcp-system;4;4;28;0,5;0,125;0,2;
27019_udp-;242;33;61;0,88;0,798679867986799;0,837370242214533;
443_tcp_https-steamexe;7;8;5;0,466666666666667;0,583333333333333;0,518518518518519;
443_tcp_https-itunesexe;1079;264;59;0,803425167535369;0,948154657293497;0,869810560257961;
40029_tcp-skypeexe;17;3;2;0,85;0,894736842105263;0,871794871794872;
443_udp_https-;190;3;0;0,984455958549223;1;0,992167101827676;
8999_udp-;0;7;15;0;0;0;
9875_udp-;14;0;0;1;1;1;
40023_udp-;11;11;2;0,5;0,846153846153846;0,628571428571429;
1024_udp-;2;22;9;0,0833333333333333;0,181818181818182;0,114285714285714;
57621_udp-;18;0;0;1;1;1;
40028_udp-;3;8;14;0,272727272727273;0,176470588235294;0,214285714285714;
49001_udp-;3;14;10;0,176470588235294;0,230769230769231;0,2;
6892_udp-;7;3;8;0,7;0,466666666666667;0,56;
3128_tcp-;59;38;38;0,608247422680412;0,608247422680412;0,608247422680412;
3800_udp-;1;14;15;0,0666666666666667;0,0625;0,0645161290322581;
3128_tcp-steamwebhelperexe;43;25;11;0,632352941176471;0,796296296296296;0,704918032786885;
443_tcp_https-onedriveexe;155;47;22;0,767326732673267;0,875706214689266;0,817941952506596;
139_tcp-;17;0;0;1;1;1;
22_tcp_ssh-winscpexe;13;1;0;0,928571428571429;1;0,962962962962963;
80_tcp_http-itunesexe;1;2;25;0,333333333333333;0,0384615384615385;0,0689655172413793;
40005_udp-;9;9;8;0,5;0,529411764705882;0,514285714285714;
40025_udp-;6;5;12;0,545454545454545;0,333333333333333;0,413793103448276;
5355_udp-;4487;0;0;1;1;1;
80_tcp_http-spotifyexe;547;38;39;0,935042735042735;0,933447098976109;0,934244235695986;
80_tcp_http-steamexe;36;8;13;0,818181818181818;0,73469387755102;0,774193548387097;
40018_udp-;7;3;13;0,7;0,35;0,466666666666667;
40003_udp-;7;16;10;0,304347826086957;0,411764705882353;0,35;
11888_udp-;0;9;10;0;0;0;
80_tcp_http-onedriveexe;14;5;2;0,736842105263158;0,875;0,8;
80_tcp_http-;1317;372;111;0,779751332149201;0,922268907563025;0,845043310875842;
443_tcp_https-system;2373;1671;761;0,586795252225519;0,757179323548181;0,661186960156032;
443_tcp_https-mshtaexe;0;0;15;0;0;0;
3478_udp-;32;1;0;0,96969696969697;1;0,984615384615385;
137_udp-;51;4;0;0,927272727272727;1;0,962264150943396;
5222_tcp_jabber-pidginexe;11;1;4;0,916666666666667;0,733333333333333;0,814814814814815;
443_tcp_https-spotifyexe;457;241;206;0,654727793696275;0,689291101055807;0,671565025716385;
6881_udp-;54;42;58;0,5625;0,482142857142857;0,519230769230769;
5004_udp-;12;2;0;0,857142857142857;1;0,923076923076923;
6992_udp-;2;7;11;0,222222222222222;0,153846153846154;0,181818181818182;
4070_tcp-spotifyexe;14;1;2;0,933333333333333;0,875;0,903225806451613;
3128_tcp-spotifyexe;9;4;6;0,692307692307692;0,6;0,642857142857143;
443_tcp_https-googledrivesyncexe;6;5;10;0,545454545454545;0,375;0,444444444444444;
3702_udp-;38;1;0;0,974358974358974;1;0,987012987012987;
80_tcp_http-utorrentieexe;8;12;28;0,4;0,222222222222222;0,285714285714286;
22_tcp_ssh-puttyexe;11;0;1;1;0,916666666666667;0,956521739130435;
443_tcp_https-skypeexe;478;79;123;0,858168761220826;0,795341098169717;0,825561312607945;
443_tcp_https-msmpengexe;9;6;4;0,6;0,692307692307692;0,642857142857143;
40024_udp-;4;16;13;0,2;0,235294117647059;0,216216216216216;
45776_tcp-utorrentexe;20;0;0;1;1;1;
995_tcp-thunderbirdexe;18;0;0;1;1;1;
547_udp_dhcpv6c-;10;0;1;1;0,909090909090909;0,952380952380952;
5223_tcp_jabberssl-apsdaemonexe;21;4;2;0,84;0,91304347826087;0,875;
443_tcp_https-thunderbirdexe;6;1;4;0,857142857142857;0,6;0,705882352941176;
80_tcp_http-firefoxexe;34;16;127;0,68;0,211180124223602;0,322274881516588;
6889_udp-;21;13;17;0,617647058823529;0,552631578947368;0,583333333333333;
443_tcp_https-skypebrowserhostexe;22;12;45;0,647058823529412;0,328358208955224;0,435643564356436;
