sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
443_tcp_https-steamwebhelperexe;0;0;24;0;0;0;
40029_udp-;6;5;20;0,545454545454545;0,230769230769231;0,324324324324324;
5938_udp-;82;11;0;0,881720430107527;1;0,937142857142857;
6969_tcp-utorrentexe;197;46;0;0,810699588477366;1;0,895454545454545;
5351_udp-;164;0;0;1;1;1;
5938_tcp-;61;35;34;0,635416666666667;0,642105263157895;0,638743455497382;
80_tcp_http-teamviewer_serviceexe;249;3;61;0,988095238095238;0,803225806451613;0,886120996441281;
40030_udp-;4;10;1;0,285714285714286;0,8;0,421052631578947;
2869_tcp-;1207;168;63;0,877818181818182;0,950393700787402;0,912665406427221;
27021_udp-;1;21;157;0,0454545454545455;0,00632911392405063;0,0111111111111111;
5938_tcp-system;29;42;19;0,408450704225352;0,604166666666667;0,487394957983193;
5353_udp-;199;13;15;0,938679245283019;0,929906542056075;0,934272300469484;
138_udp-;421;0;0;1;1;1;
443_tcp_https-chromeexe;4988;3838;4680;0,565148425107637;0,515928837401738;0,53941818968314;
12350_tcp-skypeexe;30;7;9;0,810810810810811;0,769230769230769;0,789473684210526;
80_tcp_http-iexploreexe;654;864;1294;0,430830039525692;0,335728952772074;0,377380265435661;
67_udp_dhcpc-;31;5;13;0,861111111111111;0,704545454545455;0,775;
53_udp_dns-;35546;16;58;0,99955008154772;0,998370969553983;0,998960177612905;
5005_udp-;39;1;1;0,975;0,975;0,975;
51413_udp-;531;160;58;0,768451519536903;0,901528013582343;0,8296875;
53_tcp_dns-system;17;0;0;1;1;1;
50321_udp-;1;0;113;1;0,0087719298245614;0,0173913043478261;
27020_udp-;5;15;334;0,25;0,0147492625368732;0,0278551532033426;
67_udp_dhcps-;375;1;16;0,997340425531915;0,959079283887468;0,977835723598436;
3128_tcp-system;8;10;202;0,444444444444444;0,0380952380952381;0,0701754385964912;
27019_udp-;1978;7;427;0,99647355163728;0,822453222453223;0,901138952164009;
443_tcp_https-steamexe;7;41;26;0,145833333333333;0,212121212121212;0,17283950617284;
443_tcp_https-itunesexe;8521;2407;425;0,779740117130307;0,952492734182875;0,857502264264869;
40029_tcp-skypeexe;4;10;1;0,285714285714286;0,8;0,421052631578947;
443_udp_https-;1539;3;8;0,998054474708171;0,994828700711054;0,996438977015215;
8999_udp-;0;13;58;0;0;0;
9875_udp-;5;11;0;0,3125;1;0,476190476190476;
40023_udp-;0;4;1;0;0;0;
1024_udp-;5;244;3;0,0200803212851406;0,625;0,0389105058365759;
57621_udp-;159;4;0;0,975460122699387;1;0,987577639751553;
40028_udp-;1;4;5;0,2;0,166666666666667;0,181818181818182;
49001_udp-;3;0;51;1;0,0555555555555556;0,105263157894737;
6892_udp-;0;0;4;0;0;0;
3128_tcp-;587;557;161;0,513111888111888;0,78475935828877;0,620507399577167;
3800_udp-;1;22;35;0,0434782608695652;0,0277777777777778;0,0338983050847458;
3128_tcp-steamwebhelperexe;187;53;195;0,779166666666667;0,489528795811518;0,601286173633441;
443_tcp_https-onedriveexe;1236;522;132;0,703071672354949;0,903508771929825;0,790786948176583;
139_tcp-;22;3;0;0,88;1;0,936170212765957;
22_tcp_ssh-winscpexe;23;7;9;0,766666666666667;0,71875;0,741935483870968;
80_tcp_http-itunesexe;6;23;202;0,206896551724138;0,0288461538461538;0,0506329113924051;
40005_udp-;0;13;1;0;0;0;
40025_udp-;1;8;0;0,111111111111111;1;0,2;
5355_udp-;35660;20;25;0,999439461883408;0,999299425528934;0,999369438800532;
80_tcp_http-spotifyexe;4557;168;388;0,964444444444444;0,921536905965622;0,942502585315408;
80_tcp_http-steamexe;185;42;259;0,814977973568282;0,416666666666667;0,551415797317437;
40018_udp-;4;37;5;0,0975609756097561;0,444444444444444;0,16;
40003_udp-;4;7;19;0,363636363636364;0,173913043478261;0,235294117647059;
11888_udp-;0;10;8;0;0;0;
80_tcp_http-onedriveexe;5;6;56;0,454545454545455;0,0819672131147541;0,138888888888889;
80_tcp_http-;11054;3523;520;0,758317898058585;0,95507171245896;0,845397881534167;
443_tcp_https-system;20219;17412;5403;0,537296377986235;0,78912653188666;0,639305645582028;
443_tcp_https-mshtaexe;0;0;4;0;0;0;
3478_udp-;221;0;2;1;0,991031390134529;0,995495495495495;
137_udp-;363;2;13;0,994520547945206;0,965425531914894;0,979757085020243;
5222_tcp_jabber-pidginexe;30;2;1;0,9375;0,967741935483871;0,952380952380952;
443_tcp_https-spotifyexe;2745;3033;2342;0,475077881619938;0,5396107725575;0,505292222733548;
6881_udp-;512;248;316;0,673684210526316;0,618357487922705;0,644836272040302;
5004_udp-;40;2;1;0,952380952380952;0,975609756097561;0,963855421686747;
6992_udp-;0;0;2;0;0;0;
4070_tcp-spotifyexe;154;2;9;0,987179487179487;0,94478527607362;0,96551724137931;
3128_tcp-spotifyexe;17;50;29;0,253731343283582;0,369565217391304;0,300884955752212;
443_tcp_https-googledrivesyncexe;6;4;15;0,6;0,285714285714286;0,387096774193548;
3702_udp-;213;0;2;1;0,990697674418605;0,995327102803738;
80_tcp_http-utorrentieexe;11;16;274;0,407407407407407;0,0385964912280702;0,0705128205128205;
22_tcp_ssh-puttyexe;4;18;2;0,181818181818182;0,666666666666667;0,285714285714286;
443_tcp_https-skypeexe;3155;855;1423;0,786783042394015;0,689165574486675;0,734746157428971;
443_tcp_https-msmpengexe;30;66;8;0,3125;0,789473684210526;0,447761194029851;
40024_udp-;9;10;1;0,473684210526316;0,9;0,620689655172414;
45776_tcp-utorrentexe;13;4;0;0,764705882352941;1;0,866666666666667;
995_tcp-thunderbirdexe;182;2;3;0,989130434782609;0,983783783783784;0,986449864498645;
547_udp_dhcpv6c-;17;4;0;0,80952380952381;1;0,894736842105263;
5223_tcp_jabberssl-apsdaemonexe;133;9;15;0,936619718309859;0,898648648648649;0,917241379310345;
443_tcp_https-thunderbirdexe;5;32;12;0,135135135135135;0,294117647058824;0,185185185185185;
80_tcp_http-firefoxexe;70;75;1114;0,482758620689655;0,0591216216216216;0,105342362678706;
6889_udp-;204;65;89;0,758364312267658;0,696245733788396;0,725978647686833;
443_tcp_https-skypebrowserhostexe;18;6;607;0,75;0,0288;0,0554699537750385;
443_tcp_https-utorrentexe;258;12;31;0,955555555555556;0,892733564013841;0,923076923076923;
2869_tcp-system;225;42;176;0,842696629213483;0,561097256857855;0,673652694610778;
1900_udp-;9711;13;5;0,998663101604278;0,999485384932071;0,999074074074074;
6882_udp-;0;7;14;0;0;0;
3128_tcp-chromeexe;245;254;516;0,490981963927856;0,321944809461235;0,388888888888889;
40036_udp-;1;21;4;0,0454545454545455;0,2;0,0740740740740741;
47993_udp-;30;41;38;0,422535211267606;0,441176470588235;0,431654676258993;
443_tcp_https-;4243;1069;8347;0,798757530120482;0,337013502779984;0,474025248575578;
80_tcp_http-utorrentexe;646;58;417;0,917613636363636;0,607714016933208;0,731182795698925;
5938_tcp-teamviewer_serviceexe;45;48;45;0,483870967741936;0,5;0,491803278688525;
80_tcp_http-avgmfapxexe;0;0;10;0;0;0;
443_tcp_https-svchostexe;400;148;129;0,72992700729927;0,756143667296786;0,74280408542247;
443_tcp_https-firefoxexe;11267;4130;5456;0,731765928427616;0,673742749506667;0,701556662515567;
465_tcp-thunderbirdexe;47;28;17;0,626666666666667;0,734375;0,676258992805755;
139_tcp-system;150;4;3;0,974025974025974;0,980392156862745;0,977198697068404;
40027_udp-;2;6;11;0,25;0,153846153846154;0,19047619047619;
11000_udp-;28;2;0;0,933333333333333;1;0,96551724137931;
8621_udp-;2;16;40;0,111111111111111;0,0476190476190476;0,0666666666666667;
27036_udp-;16;0;1;1;0,941176470588235;0,96969696969697;
