sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;30;39;
137_UDP;96;376;
138_UDP;114;421;
139_TCP;60;190;
1900_UDP;2447;9718;
22_TCP_SSH;30;68;
27017_UDP;133;424;
27018_UDP;125;446;
27019_UDP;616;2410;
27020_UDP;97;338;
27021_UDP;49;155;
27036_UDP;30;17;
2869_TCP;393;1673;
3128_TCP;548;2163;
3478_UDP;53;227;
3702_UDP;67;213;
3800_UDP;30;36;
40003_UDP;30;23;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;30;32;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;30;26;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;34;171;
43265_UDP;34;116;
443_TCP_Https;23542;95260;
443_UDP_Https;376;1542;
45776_TCP;30;13;
465_TCP;30;64;
47993_UDP;30;68;
49001_UDP;30;54;
5004_UDP;30;41;
5005_UDP;30;40;
50321_UDP;30;114;
51413_UDP;134;589;
51654_UDP;322;1246;
5222_TCP_Jabber;30;31;
5223_TCP_JabberSsl;30;157;
53_TCP_Dns;30;17;
53_UDP_Dns;8867;35605;
5351_UDP;43;159;
5353_UDP;49;213;
5355_UDP;8889;35681;
547_UDP_DhcPv6C;30;17;
57621_UDP;33;167;
5938_TCP;68;255;
5938_UDP;30;82;
67_UDP_DhcPc;30;44;
67_UDP_DhcPs;106;362;
6881_UDP;209;849;
6882_UDP;30;14;
6889_UDP;81;286;
6892_UDP;30;4;
6969_TCP;45;205;
6992_UDP;30;2;
80_TCP_HTTP;5516;22162;
8621_UDP;30;42;
8999_UDP;30;58;
9875_UDP;30;5;
995_TCP;49;174;
