sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;203;2;1;0,990243902439024;0,995098039215686;0,992665036674817;
5005_udp;5;5;7;0,5;0,416666666666667;0,454545454545455;
12350_tcp;14;0;1;1;0,933333333333333;0,96551724137931;
3128_tcp;239;33;36;0,878676470588235;0,869090909090909;0,873857404021938;
6882_udp;4;8;13;0,333333333333333;0,235294117647059;0,275862068965517;
80_tcp_http;2722;39;34;0,985874683085838;0,98766328011611;0,986768171107486;
40036_udp;1;10;17;0,0909090909090909;0,0555555555555556;0,0689655172413793;
11888_udp;4;16;7;0,2;0,363636363636364;0,258064516129032;
50321_udp;0;6;14;0;0;0;
5004_udp;16;0;2;1;0,888888888888889;0,941176470588235;
465_tcp;10;4;9;0,714285714285714;0,526315789473684;0,606060606060606;
443_tcp_https;11710;13;10;0,998891068839034;0,999146757679181;0,999018896898861;
27017_udp;19;57;51;0,25;0,271428571428571;0,26027397260274;
27020_udp;0;4;50;0;0;0;
547_udp_dhcpv6c;12;0;0;1;1;1;
27018_udp;35;144;17;0,195530726256983;0,673076923076923;0,303030303030303;
57621_udp;16;0;0;1;1;1;
22_tcp_ssh;14;2;1;0,875;0,933333333333333;0,903225806451613;
45776_tcp;19;1;0;0,95;1;0,974358974358974;
8999_udp;1;4;13;0,2;0,0714285714285714;0,105263157894737;
40005_udp;3;2;15;0,6;0,166666666666667;0,260869565217391;
53_tcp_dns;21;1;0;0,954545454545455;1;0,976744186046512;
5351_udp;25;0;0;1;1;1;
6892_udp;0;3;13;0;0;0;
9875_udp;20;0;0;1;1;1;
67_udp_dhcps;52;0;0;1;1;1;
11000_udp;15;0;0;1;1;1;
138_udp;56;0;0;1;1;1;
6969_tcp;23;0;2;1;0,92;0,958333333333333;
40028_udp;5;7;10;0,416666666666667;0,333333333333333;0,37037037037037;
995_tcp;25;0;1;1;0,961538461538462;0,980392156862745;
67_udp_dhcpc;17;0;0;1;1;1;
8621_udp;1;3;14;0,25;0,0666666666666667;0,105263157894737;
5223_tcp_jabberssl;15;3;4;0,833333333333333;0,789473684210526;0,810810810810811;
6992_udp;1;2;11;0,333333333333333;0,0833333333333333;0,133333333333333;
40027_udp;6;10;3;0,375;0,666666666666667;0,48;
40029_udp;6;19;9;0,24;0,4;0,3;
5355_udp;4451;1;0;0,999775381850854;1;0,999887678310682;
6889_udp;33;8;6;0,804878048780488;0,846153846153846;0,825;
40024_udp;6;11;7;0,352941176470588;0,461538461538462;0,4;
5938_tcp;33;4;0;0,891891891891892;1;0,942857142857143;
3702_udp;37;0;0;1;1;1;
40003_udp;4;6;13;0,4;0,235294117647059;0,296296296296296;
27036_udp;15;0;2;1;0,882352941176471;0,9375;
1900_udp;1245;0;3;1;0,997596153846154;0,998796630565584;
5353_udp;23;1;0;0,958333333333333;1;0,978723404255319;
27021_udp;1;4;24;0,2;0,04;0,0666666666666667;
40025_udp;4;9;11;0,307692307692308;0,266666666666667;0,285714285714286;
40023_udp;12;12;4;0,5;0,75;0,6;
5222_tcp_jabber;12;2;0;0,857142857142857;1;0,923076923076923;
40020_udp;7;10;8;0,411764705882353;0,466666666666667;0,4375;
5938_udp;11;0;0;1;1;1;
51413_udp;51;7;16;0,879310344827586;0,761194029850746;0,816;
51654_udp;165;4;3;0,976331360946746;0,982142857142857;0,979228486646884;
40029_tcp;14;1;4;0,933333333333333;0,777777777777778;0,848484848484849;
47993_udp;9;2;9;0,818181818181818;0,5;0,620689655172414;
4070_tcp;14;1;1;0,933333333333333;0,933333333333333;0,933333333333333;
27019_udp;250;2;68;0,992063492063492;0,786163522012579;0,87719298245614;
3478_udp;25;0;0;1;1;1;
137_udp;51;7;0;0,879310344827586;1;0,935779816513761;
6881_udp;68;88;34;0,435897435897436;0,666666666666667;0,527131782945736;
40018_udp;2;10;10;0,166666666666667;0,166666666666667;0,166666666666667;
53_udp_dns;4426;9;6;0,997970687711387;0,998646209386282;0,998308334273148;
43265_udp;10;12;6;0,454545454545455;0,625;0,526315789473684;
443_udp_https;186;3;0;0,984126984126984;1;0,992;
3800_udp;3;30;10;0,0909090909090909;0,230769230769231;0,130434782608696;
139_tcp;21;0;0;1;1;1;
49001_udp;1;3;12;0,25;0,0769230769230769;0,117647058823529;
40030_udp;3;7;15;0,3;0,166666666666667;0,214285714285714;
1024_udp;1;2;17;0,333333333333333;0,0555555555555556;0,0952380952380952;
