sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;1657;13;16;0,992215568862275;0,990436341900777;0,991325157044571;
5005_udp;31;7;9;0,815789473684211;0,775;0,794871794871795;
12350_tcp;32;0;7;1;0,82051282051282;0,901408450704225;
3128_tcp;1859;192;304;0,906387128230132;0,859454461396209;0,882297104888467;
6882_udp;0;33;14;0;0;0;
80_tcp_http;21942;349;220;0,984343457000583;0,99007309809584;0,987199964006929;
40036_udp;0;8;5;0;0;0;
11888_udp;0;75;8;0;0;0;
50321_udp;12;29;102;0,292682926829268;0,105263157894737;0,154838709677419;
5004_udp;39;0;2;1;0,951219512195122;0,975;
465_tcp;49;21;15;0,7;0,765625;0,73134328358209;
443_tcp_https;95175;51;85;0,999464431982862;0,999107705227798;0,999286036769106;
27017_udp;131;490;293;0,210950080515298;0,308962264150943;0,250717703349282;
27020_udp;10;47;328;0,175438596491228;0,029585798816568;0,0506329113924051;
547_udp_dhcpv6c;16;3;1;0,842105263157895;0,941176470588235;0,888888888888889;
27018_udp;273;800;173;0,254426840633737;0,612107623318386;0,359447004608295;
57621_udp;167;5;0;0,970930232558139;1;0,985250737463127;
22_tcp_ssh;61;4;7;0,938461538461538;0,897058823529412;0,917293233082707;
45776_tcp;13;5;0;0,722222222222222;1;0,838709677419355;
8999_udp;0;23;58;0;0;0;
40005_udp;0;2;1;0;0;0;
53_tcp_dns;17;0;0;1;1;1;
5351_udp;159;0;0;1;1;1;
6892_udp;0;30;4;0;0;0;
9875_udp;5;0;0;1;1;1;
67_udp_dhcps;357;0;5;1;0,986187845303867;0,993045897079277;
11000_udp;28;1;0;0,96551724137931;1;0,982456140350877;
138_udp;421;0;0;1;1;1;
6969_tcp;193;10;12;0,950738916256158;0,941463414634146;0,946078431372549;
40028_udp;3;8;3;0,272727272727273;0,5;0,352941176470588;
995_tcp;168;21;6;0,888888888888889;0,96551724137931;0,925619834710744;
67_udp_dhcpc;44;5;0;0,897959183673469;1;0,946236559139785;
8621_udp;4;10;38;0,285714285714286;0,0952380952380952;0,142857142857143;
5223_tcp_jabberssl;130;11;27;0,921985815602837;0,828025477707006;0,87248322147651;
6992_udp;0;12;2;0;0;0;
40027_udp;1;16;12;0,0588235294117647;0,0769230769230769;0,0666666666666667;
40029_udp;9;3;17;0,75;0,346153846153846;0,473684210526316;
5355_udp;35681;2;0;0,999943950900989;1;0,999971974665097;
6889_udp;206;30;80;0,872881355932203;0,72027972027972;0,789272030651341;
40024_udp;2;7;8;0,222222222222222;0,2;0,210526315789474;
5938_tcp;251;16;4;0,940074906367041;0,984313725490196;0,961685823754789;
3702_udp;212;2;1;0,990654205607477;0,995305164319249;0,992974238875878;
40003_udp;6;22;17;0,214285714285714;0,260869565217391;0,235294117647059;
27036_udp;15;0;2;1;0,882352941176471;0,9375;
1900_udp;9702;4;16;0,999587883783227;0,998353570693558;0,998970345963756;
5353_udp;213;1;0;0,995327102803738;1;0,997658079625293;
27021_udp;3;35;152;0,0789473684210526;0,0193548387096774;0,0310880829015544;
40025_udp;0;13;1;0;0;0;
40023_udp;1;6;0;0,142857142857143;1;0,25;
5222_tcp_jabber;28;7;3;0,8;0,903225806451613;0,848484848484849;
40020_udp;10;11;22;0,476190476190476;0,3125;0,377358490566038;
5938_udp;82;0;0;1;1;1;
51413_udp;489;40;100;0,924385633270321;0,830220713073005;0,874776386404293;
51654_udp;1209;6;37;0,995061728395062;0,970304975922954;0,982527427874848;
40029_tcp;5;3;0;0,625;1;0,769230769230769;
47993_udp;39;37;29;0,513157894736842;0,573529411764706;0,541666666666667;
4070_tcp;161;7;10;0,958333333333333;0,941520467836257;0,949852507374631;
27019_udp;1975;8;435;0,995965708522441;0,819502074688797;0,899157750967448;
3478_udp;225;0;2;1;0,991189427312775;0,995575221238938;
137_udp;374;9;2;0,976501305483029;0,99468085106383;0,985507246376812;
6881_udp;561;287;288;0,661556603773585;0,660777385159011;0,661166764879199;
40018_udp;6;8;3;0,428571428571429;0,666666666666667;0,521739130434783;
53_udp_dns;35581;25;24;0,999297871145313;0,999325937368347;0,999311904059766;
43265_udp;65;38;51;0,631067961165049;0,560344827586207;0,593607305936073;
443_udp_https;1536;14;6;0,990967741935484;0,996108949416342;0,99353169469599;
3800_udp;17;156;19;0,0982658959537572;0,472222222222222;0,162679425837321;
139_tcp;190;0;0;1;1;1;
49001_udp;10;40;44;0,2;0,185185185185185;0,192307692307692;
40030_udp;0;19;5;0;0;0;
1024_udp;1;5;7;0,166666666666667;0,125;0,142857142857143;
