sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;12;0;1;1;0,923076923076923;0,96;
3702_udp;15;0;0;1;1;1;
tcp_dns;13;0;0;1;1;1;
40003_udp;6;7;11;0,461538461538462;0,352941176470588;0,4;
tcp_smtptlsssl;12;1;2;0,923076923076923;0,857142857142857;0,888888888888889;
6992_udp;9;1;8;0,9;0,529411764705882;0,666666666666667;
40023_udp;8;19;2;0,296296296296296;0,8;0,432432432432432;
udp_ssdp;157;0;2;1;0,987421383647799;0,993670886075949;
40028_udp;2;10;14;0,166666666666667;0,125;0,142857142857143;
9875_udp;12;0;0;1;1;1;
40025_udp;4;7;6;0,363636363636364;0,4;0,380952380952381;
40005_udp;4;24;4;0,142857142857143;0,5;0,222222222222222;
tcp_jabber;13;0;4;1;0,764705882352941;0,866666666666667;
udp_teamviewer;15;1;0;0,9375;1;0,967741935483871;
43265_udp;4;9;10;0,307692307692308;0,285714285714286;0,296296296296296;
tcp_teamviewer;17;4;0;0,80952380952381;1;0,894736842105263;
40020_udp;3;12;13;0,2;0,1875;0,193548387096774;
50321_udp;2;9;14;0,181818181818182;0,125;0,148148148148148;
udp_netbios;19;0;1;1;0,95;0,974358974358974;
49001_udp;2;13;8;0,133333333333333;0,2;0,16;
tcp_icslap;26;3;0;0,896551724137931;1;0,945454545454545;
40036_udp;0;3;15;0;0;0;
45776_tcp;14;1;0;0,933333333333333;1;0,96551724137931;
1024_udp;3;42;10;0,0666666666666667;0,230769230769231;0,103448275862069;
40029_udp;1;0;13;1;0,0714285714285714;0,133333333333333;
51654_udp;20;0;1;1;0,952380952380952;0,975609756097561;
8621_udp;1;14;11;0,0666666666666667;0,0833333333333333;0,0740740740740741;
tcp_jabberssl;16;3;2;0,842105263157895;0,888888888888889;0,864864864864865;
3800_udp;3;6;14;0,333333333333333;0,176470588235294;0,230769230769231;
udp_rtp;7;3;1;0,7;0,875;0,777777777777778;
udp_stun;21;6;0;0,777777777777778;1;0,875;
udp_https;19;3;3;0,863636363636364;0,863636363636364;0,863636363636364;
udp_natpmp;19;0;0;1;1;1;
40030_udp;5;10;11;0,333333333333333;0,3125;0,32258064516129;
udp_p2pbittorrent;10;8;24;0,555555555555556;0,294117647058824;0,384615384615385;
tcp_https;1530;8;9;0,99479843953186;0,994152046783626;0,994475138121547;
40018_udp;10;1;7;0,909090909090909;0,588235294117647;0,714285714285714;
udp_dhcpc;11;3;0;0,785714285714286;1;0,88;
40027_udp;9;6;6;0,6;0,6;0,6;
47993_udp;6;7;7;0,461538461538462;0,461538461538462;0,461538461538462;
tcp_pop3tlsssl;10;1;7;0,909090909090909;0,588235294117647;0,714285714285714;
11888_udp;2;7;15;0,222222222222222;0,117647058823529;0,153846153846154;
udp_onlinegames;54;1;1;0,981818181818182;0,981818181818182;0,981818181818182;
udp_dhcpv6c;18;0;0;1;1;1;
udp_dhcps;13;0;1;1;0,928571428571429;0,962962962962963;
tcp_ssh;14;0;2;1;0,875;0,933333333333333;
40029_tcp;16;5;1;0,761904761904762;0,941176470588235;0,842105263157895;
4070_tcp;18;2;0;0,9;1;0,947368421052632;
12350_tcp;11;4;2;0,733333333333333;0,846153846153846;0,785714285714286;
40024_udp;5;7;9;0,416666666666667;0,357142857142857;0,384615384615385;
udp_netbiosdgm;16;0;0;1;1;1;
tcp_http;365;2;3;0,994550408719346;0,991847826086957;0,993197278911565;
139_tcp;19;0;0;1;1;1;
udp_dns;595;1;3;0,998322147651007;0,994983277591973;0,996649916247906;
8999_udp;3;15;11;0,166666666666667;0,214285714285714;0,1875;
udp_llmnr;564;1;0;0,998230088495575;1;0,99911426040744;
11000_udp;8;0;1;1;0,888888888888889;0,941176470588235;
udp_spotify;13;0;0;1;1;1;
