sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
5353_udp;232;33;0;0,875471698113208;1;0,933601609657948;
3702_udp;248;0;2;1;0,992;0,995983935742972;
tcp_dns;17;6;0;0,739130434782609;1;0,85;
40003_udp;14;25;9;0,358974358974359;0,608695652173913;0,451612903225806;
tcp_smtptlsssl;59;50;5;0,541284403669725;0,921875;0,682080924855491;
6992_udp;2;199;0;0,00995024875621891;1;0,0197044334975369;
40023_udp;0;26;1;0;0;0;
udp_ssdp;11757;29;102;0,997539453589004;0,991398937515811;0,994459716641996;
40028_udp;2;5;4;0,285714285714286;0,333333333333333;0,307692307692308;
9875_udp;5;0;0;1;1;1;
40025_udp;0;2;1;0;0;0;
40005_udp;1;19;0;0,05;1;0,0952380952380952;
udp_teamviewer;82;0;0;1;1;1;
tcp_jabber;30;0;1;1;0,967741935483871;0,983606557377049;
43265_udp;41;39;79;0,5125;0,341666666666667;0,41;
tcp_teamviewer;254;219;39;0,536997885835095;0,866894197952218;0,663185378590078;
40020_udp;13;69;19;0,158536585365854;0,40625;0,228070175438596;
50321_udp;26;151;88;0,146892655367232;0,228070175438596;0,178694158075601;
udp_netbios;424;11;18;0,974712643678161;0,959276018099548;0,966932725199544;
49001_udp;15;157;39;0,0872093023255814;0,277777777777778;0,132743362831858;
tcp_icslap;1969;252;51;0,886537595677623;0,974752475247525;0,928554586182504;
40036_udp;0;1;5;0;0;0;
45776_tcp;12;20;1;0,375;0,923076923076923;0,533333333333333;
1024_udp;5;342;3;0,0144092219020173;0,625;0,028169014084507;
40029_udp;0;0;26;0;0;0;
51654_udp;1482;14;42;0,990641711229946;0,97244094488189;0,981456953642384;
tcp_jabberssl;130;26;27;0,833333333333333;0,828025477707006;0,830670926517572;
8621_udp;9;366;33;0,024;0,214285714285714;0,0431654676258993;
3800_udp;3;35;33;0,0789473684210526;0,0833333333333333;0,0810810810810811;
udp_rtp;109;51;11;0,68125;0,908333333333333;0,778571428571429;
udp_stun;250;42;0;0,856164383561644;1;0,922509225092251;
udp_https;1748;96;122;0,947939262472885;0,93475935828877;0,941303177167474;
udp_natpmp;158;1;14;0,993710691823899;0,918604651162791;0,954682779456193;
40030_udp;2;6;3;0,25;0,4;0,307692307692308;
udp_p2pbittorrent;851;30;1393;0,965947786606129;0,379233511586453;0,54464;
tcp_https;115265;107;480;0,999072565267136;0,995852952611344;0,997460160870901;
40018_udp;7;21;2;0,25;0,777777777777778;0,378378378378378;
udp_dhcpc;44;25;0;0,63768115942029;1;0,778761061946903;
40027_udp;7;5;6;0,583333333333333;0,538461538461538;0,56;
47993_udp;37;59;31;0,385416666666667;0,544117647058823;0,451219512195122;
tcp_pop3tlsssl;131;19;62;0,873333333333333;0,678756476683938;0,763848396501458;
11888_udp;4;141;4;0,0275862068965517;0,5;0,0522875816993464;
udp_onlinegames;4641;21;94;0,995495495495496;0,980147835269271;0,987762051718634;
udp_dhcpv6c;16;0;1;1;0,941176470588235;0,96969696969697;
udp_dhcps;434;88;4;0,831417624521073;0,990867579908676;0,904166666666667;
tcp_ssh;57;3;11;0,95;0,838235294117647;0,890625;
40029_tcp;4;23;1;0,148148148148148;0,8;0,25;
4070_tcp;158;26;17;0,858695652173913;0,902857142857143;0,880222841225627;
12350_tcp;35;58;4;0,376344086021505;0,897435897435897;0,53030303030303;
40024_udp;4;12;6;0,25;0,4;0,307692307692308;
udp_netbiosdgm;505;19;0;0,963740458015267;1;0,98153547133139;
tcp_http;29568;148;300;0,995019518104725;0,989955805544395;0,992481203007519;
139_tcp;220;8;0;0,964912280701754;1;0,982142857142857;
udp_dns;43195;33;118;0,999236605903581;0,997275644725602;0,998255162293017;
8999_udp;23;217;35;0,0958333333333333;0,396551724137931;0,154362416107383;
udp_llmnr;43332;32;88;0,999262060695508;0,997973284200829;0,998617256637168;
11000_udp;28;6;0;0,823529411764706;1;0,903225806451613;
udp_spotify;170;44;2;0,794392523364486;0,988372093023256;0,880829015544041;
