sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;1657;32;16;0,98105387803434;0,990436341900777;0,985722784057109;
5005_udp;31;1;9;0,96875;0,775;0,861111111111111;
12350_tcp;30;7;9;0,810810810810811;0,769230769230769;0,789473684210526;
3128_tcp;1808;126;355;0,934850051706308;0,83587609801202;0,882597022211374;
6882_udp;3;62;11;0,0461538461538462;0,214285714285714;0,0759493670886076;
80_tcp_http;21987;421;175;0,981212067118886;0,992103600758054;0,986627776531299;
40036_udp;0;6;5;0;0;0;
11888_udp;0;61;8;0;0;0;
50321_udp;10;92;104;0,0980392156862745;0,087719298245614;0,0925925925925926;
5004_udp;40;15;1;0,727272727272727;0,975609756097561;0,833333333333333;
465_tcp;36;28;28;0,5625;0,5625;0,5625;
443_tcp_https;95152;44;108;0,999537795705702;0,998866260760025;0,999201915403033;
27017_udp;143;414;281;0,25673249551167;0,337264150943396;0,291539245667686;
27020_udp;61;229;277;0,210344827586207;0,180473372781065;0,194267515923567;
547_udp_dhcpv6c;17;12;0;0,586206896551724;1;0,739130434782609;
27018_udp;41;141;405;0,225274725274725;0,0919282511210762;0,130573248407643;
57621_udp;167;2;0;0,988165680473373;1;0,994047619047619;
22_tcp_ssh;65;12;3;0,844155844155844;0,955882352941177;0,896551724137931;
45776_tcp;11;3;2;0,785714285714286;0,846153846153846;0,814814814814815;
8999_udp;11;59;47;0,157142857142857;0,189655172413793;0,171875;
40005_udp;0;6;1;0;0;0;
53_tcp_dns;17;3;0;0,85;1;0,918918918918919;
5351_udp;159;3;0;0,981481481481482;1;0,990654205607477;
6892_udp;0;8;4;0;0;0;
9875_udp;5;0;0;1;1;1;
67_udp_dhcps;357;0;5;1;0,986187845303867;0,993045897079277;
11000_udp;28;18;0;0,608695652173913;1;0,756756756756757;
138_udp;421;14;0;0,967816091954023;1;0,983644859813084;
6969_tcp;164;7;41;0,95906432748538;0,8;0,872340425531915;
40028_udp;2;11;4;0,153846153846154;0,333333333333333;0,210526315789474;
995_tcp;172;43;2;0,8;0,988505747126437;0,884318766066838;
67_udp_dhcpc;44;5;0;0,897959183673469;1;0,946236559139785;
8621_udp;6;36;36;0,142857142857143;0,142857142857143;0,142857142857143;
5223_tcp_jabberssl;118;8;39;0,936507936507937;0,751592356687898;0,833922261484099;
6992_udp;1;37;1;0,0263157894736842;0,5;0,05;
40027_udp;9;6;4;0,6;0,692307692307692;0,642857142857143;
40029_udp;7;2;19;0,777777777777778;0,269230769230769;0,4;
5355_udp;35681;2;0;0,999943950900989;1;0,999971974665097;
6889_udp;174;24;112;0,878787878787879;0,608391608391608;0,71900826446281;
40024_udp;3;9;7;0,25;0,3;0,272727272727273;
5938_tcp;241;6;14;0,975708502024291;0,945098039215686;0,960159362549801;
3702_udp;212;0;1;1;0,995305164319249;0,997647058823529;
40003_udp;12;20;11;0,375;0,521739130434783;0,436363636363636;
27036_udp;16;1;1;0,941176470588235;0,941176470588235;0,941176470588235;
1900_udp;9717;8;1;0,999177377892031;0,999897098168347;0,999537108470915;
5353_udp;210;0;3;1;0,985915492957747;0,99290780141844;
27021_udp;1;6;154;0,142857142857143;0,00645161290322581;0,0123456790123457;
40025_udp;0;5;1;0;0;0;
40023_udp;1;11;0;0,0833333333333333;1;0,153846153846154;
5222_tcp_jabber;26;8;5;0,764705882352941;0,838709677419355;0,8;
40020_udp;17;5;15;0,772727272727273;0,53125;0,62962962962963;
5938_udp;82;0;0;1;1;1;
51413_udp;516;80;73;0,865771812080537;0,876061120543294;0,870886075949367;
51654_udp;1211;19;35;0,984552845528455;0,971910112359551;0,978190630048465;
40029_tcp;2;5;3;0,285714285714286;0,4;0,333333333333333;
47993_udp;30;50;38;0,375;0,441176470588235;0,405405405405405;
4070_tcp;161;7;10;0,958333333333333;0,941520467836257;0,949852507374631;
27019_udp;2139;618;271;0,775843307943417;0,887551867219917;0,827946584091349;
3478_udp;225;1;2;0,995575221238938;0,991189427312775;0,993377483443709;
137_udp;375;34;1;0,916870415647922;0,997340425531915;0,955414012738854;
6881_udp;428;152;421;0,737931034482759;0,504122497055359;0,599020293911827;
40018_udp;5;12;4;0,294117647058824;0,555555555555556;0,384615384615385;
53_udp_dns;35546;31;59;0,999128650532648;0,998342929363853;0,998735635413447;
43265_udp;53;34;63;0,609195402298851;0,456896551724138;0,522167487684729;
443_udp_https;1523;12;19;0,992182410423453;0,987678339818418;0,989925251868703;
3800_udp;5;83;31;0,0568181818181818;0,138888888888889;0,0806451612903226;
139_tcp;190;4;0;0,979381443298969;1;0,989583333333333;
49001_udp;10;84;44;0,106382978723404;0,185185185185185;0,135135135135135;
40030_udp;2;7;3;0,222222222222222;0,4;0,285714285714286;
1024_udp;4;94;4;0,0408163265306122;0,5;0,0754716981132075;
