sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
2869_tcp;161;2;18;0,987730061349693;0,899441340782123;0,941520467836257;
5005_udp;13;2;1;0,866666666666667;0,928571428571429;0,896551724137931;
12350_tcp;9;1;2;0,9;0,818181818181818;0,857142857142857;
3128_tcp;220;40;34;0,846153846153846;0,866141732283465;0,856031128404669;
6882_udp;3;2;11;0,6;0,214285714285714;0,315789473684211;
80_tcp_http;2685;51;39;0,981359649122807;0,98568281938326;0,983516483516484;
40036_udp;0;4;18;0;0;0;
11888_udp;2;14;12;0,125;0,142857142857143;0,133333333333333;
50321_udp;2;4;14;0,333333333333333;0,125;0,181818181818182;
5004_udp;15;1;0;0,9375;1;0,967741935483871;
465_tcp;10;5;6;0,666666666666667;0,625;0,645161290322581;
443_tcp_https;11800;10;11;0,999153259949196;0,999068664803996;0,999110960585919;
27017_udp;56;180;11;0,23728813559322;0,835820895522388;0,36963696369637;
27020_udp;0;1;50;0;0;0;
547_udp_dhcpv6c;16;0;0;1;1;1;
27018_udp;2;10;64;0,166666666666667;0,0303030303030303;0,0512820512820513;
57621_udp;16;0;0;1;1;1;
22_tcp_ssh;12;1;1;0,923076923076923;0,923076923076923;0,923076923076923;
45776_tcp;12;0;0;1;1;1;
8999_udp;1;6;11;0,142857142857143;0,0833333333333333;0,105263157894737;
40005_udp;3;6;18;0,333333333333333;0,142857142857143;0,2;
53_tcp_dns;17;0;0;1;1;1;
5351_udp;20;0;0;1;1;1;
6892_udp;0;3;13;0;0;0;
9875_udp;13;0;0;1;1;1;
67_udp_dhcps;67;0;0;1;1;1;
11000_udp;16;0;0;1;1;1;
138_udp;57;0;0;1;1;1;
6969_tcp;17;1;0;0,944444444444444;1;0,971428571428571;
40028_udp;2;6;15;0,25;0,117647058823529;0,16;
995_tcp;15;0;3;1;0,833333333333333;0,909090909090909;
67_udp_dhcpc;13;0;3;1;0,8125;0,896551724137931;
8621_udp;1;3;14;0,25;0,0666666666666667;0,105263157894737;
5223_tcp_jabberssl;14;1;1;0,933333333333333;0,933333333333333;0,933333333333333;
6992_udp;1;7;15;0,125;0,0625;0,0833333333333333;
40027_udp;3;12;9;0,2;0,25;0,222222222222222;
40029_udp;2;0;14;1;0,125;0,222222222222222;
5355_udp;4399;1;0;0,999772727272727;1;0,999886350721673;
6889_udp;16;7;30;0,695652173913043;0,347826086956522;0,463768115942029;
40024_udp;5;9;9;0,357142857142857;0,357142857142857;0,357142857142857;
5938_tcp;32;5;1;0,864864864864865;0,96969696969697;0,914285714285714;
3702_udp;36;2;0;0,947368421052632;1;0,972972972972973;
40003_udp;6;16;10;0,272727272727273;0,375;0,315789473684211;
27036_udp;17;1;0;0,944444444444444;1;0,971428571428571;
1900_udp;1235;2;1;0,998383185125303;0,999190938511327;0,998786898503842;
5353_udp;23;0;0;1;1;1;
27021_udp;0;0;26;0;0;0;
40025_udp;4;28;4;0,125;0,5;0,2;
40023_udp;10;19;3;0,344827586206897;0,769230769230769;0,476190476190476;
5222_tcp_jabber;12;0;2;1;0,857142857142857;0,923076923076923;
40020_udp;4;4;13;0,5;0,235294117647059;0,32;
5938_udp;18;1;0;0,947368421052632;1;0,972972972972973;
51413_udp;59;16;6;0,786666666666667;0,907692307692308;0,842857142857143;
51654_udp;151;3;3;0,980519480519481;0,980519480519481;0,980519480519481;
40029_tcp;11;2;3;0,846153846153846;0,785714285714286;0,814814814814815;
47993_udp;1;1;13;0,5;0,0714285714285714;0,125;
4070_tcp;15;0;3;1;0,833333333333333;0,909090909090909;
27019_udp;244;14;52;0,945736434108527;0,824324324324324;0,88086642599278;
3478_udp;21;0;0;1;1;1;
137_udp;43;1;0;0,977272727272727;1;0,988505747126437;
6881_udp;56;114;47;0,329411764705882;0,54368932038835;0,41025641025641;
40018_udp;9;14;10;0,391304347826087;0,473684210526316;0,428571428571429;
53_udp_dns;4496;17;8;0,996233104365167;0,998223801065719;0,997227459243651;
43265_udp;12;13;3;0,48;0,8;0,6;
443_udp_https;195;1;0;0,994897959183674;1;0,997442455242967;
3800_udp;1;4;19;0,2;0,05;0,08;
139_tcp;34;6;0;0,85;1;0,918918918918919;
49001_udp;0;2;18;0;0;0;
40030_udp;3;0;11;1;0,214285714285714;0,352941176470588;
1024_udp;7;35;8;0,166666666666667;0,466666666666667;0,245614035087719;
